ANIO,ID_MES,TRANSPORTE,VARIABLE,ID_ENTIDAD,ID_MUNICIPIO,VALOR
1986,"	01",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",110245300
1986,"	02",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",98372400
1986,"	03",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",103989500
1986,"	04",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",112752000
1986,"	05",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",118057300
1986,"	06",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",114735000
1986,"	07",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",124288300
1986,"	08",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",120106400
1986,"	09",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",115131000
1986,"	10",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",120128100
1986,"	11",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",111690000
1986,"	12",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",108927800
1987,"	01",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",115921400
1987,"	02",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",107301600
1987,"	03",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",121811400
1987,"	04",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",109899000
1987,"	05",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",116308900
1987,"	06",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",116592000
1987,"	07",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",120311000
1987,"	08",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",121225500
1987,"	09",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",117294000
1987,"	10",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",125900300
1987,"	11",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",134253000
1987,"	12",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",119474000
1988,"	01",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",120016500
1988,"	02",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",117476100
1988,"	03",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",123736500
1988,"	04",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",116472000
1988,"	05",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",125329900
1988,"	06",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",124140000
1988,"	07",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",122977000
1988,"	08",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",128467100
1988,"	09",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",121293000
1988,"	10",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",128894900
1988,"	11",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",125460000
1988,"	12",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",121799000
1989,"	01",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",129170800
1989,"	02",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",119574000
1989,"	03",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",120521800
1989,"	04",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",125931000
1989,"	05",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",131480300
1989,"	06",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",128697000
1989,"	07",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",132122000
1989,"	08",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",133117100
1989,"	09",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",130683000
1989,"	10",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",135098000
1989,"	11",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",130050000
1989,"	12",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",121802100
1990,"	01",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",128315200
1990,"	02",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",112985600
1990,"	03",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",126669100
1990,"	04",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",109479000
1990,"	05",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",123519500
1990,"	06",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",120504000
1990,"	07",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",124629300
1990,"	08",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",123426500
1990,"	09",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",119637000
1990,"	10",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",125333000
1990,"	11",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",118038000
1990,"	12",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",115143300
1991,"	01",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",123386200
1991,"	02",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",112056000
1991,"	03",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",114005600
1991,"	04",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",119988000
1991,"	05",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",122784800
1991,"	06",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",117450000
1991,"	07",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",123745800
1991,"	08",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",122856100
1991,"	09",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",118245000
1991,"	10",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",126941900
1991,"	11",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",118530000
1991,"	12",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",113565400
1992,"	01",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",118978000
1992,"	02",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",116087000
1992,"	03",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",126656700
1992,"	04",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",112341000
1992,"	05",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",119793300
1992,"	06",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",122292000
1992,"	07",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",124003100
1992,"	08",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",119715800
1992,"	09",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",118263000
1992,"	10",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",124468100
1992,"	11",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",117009000
1992,"	12",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",116460800
1993,"	01",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",116076400
1993,"	02",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",110513200
1993,"	03",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",125323700
1993,"	04",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",109461000
1993,"	05",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",119545300
1993,"	06",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",119856000
1993,"	07",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",121027100
1993,"	08",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",120791500
1993,"	09",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",117708000
1993,"	10",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",124601400
1993,"	11",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",119004000
1993,"	12",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",117651200
1994,"	01",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",117251300
1994,"	02",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",110331200
1994,"	03",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",119136100
1994,"	04",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",104025000
1994,"	05",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",120611700
1994,"	06",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",117696000
1994,"	07",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",117902300
1994,"	08",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",123671400
1994,"	09",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",119850000
1994,"	10",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",126039800
1994,"	11",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",122022000
1994,"	12",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",115140200
1995,"	01",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",121405300
1995,"	02",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",111837600
1995,"	03",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",126957400
1995,"	04",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",112482000
1995,"	05",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",126173100
1995,"	06",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",124500000
1995,"	07",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",122580200
1995,"	08",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",128501200
1995,"	09",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",126201000
1995,"	10",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",131700400
1995,"	11",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",123600000
1995,"	12",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",118001500
1996,"	01",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",121101500
1996,"	02",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",114799400
1996,"	03",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",121399100
1996,"	04",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",110301000
1996,"	05",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",122499600
1996,"	06",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",116199000
1996,"	07",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",120001000
1996,"	08",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",121501400
1996,"	09",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",117300000
1996,"	10",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",127301500
1996,"	11",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",119100000
1996,"	12",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",114098600
1997,"	01",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",113599500
1997,"	02",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",106299200
1997,"	03",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",107898600
1997,"	04",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",115599000
1997,"	05",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",114300100
1997,"	06",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",111099000
1997,"	07",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",114101700
1997,"	08",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",115199100
1997,"	09",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",113199000
1997,"	10",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",123398600
1997,"	11",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",114000000
1997,"	12",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",112799700
1998,"	01",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",111699200
1998,"	02",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",105198800
1998,"	03",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",118401400
1998,"	04",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",105900000
1998,"	05",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",111801500
1998,"	06",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",112401000
1998,"	07",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",112399800
1998,"	08",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",114700000
1998,"	09",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",110400000
1998,"	10",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",118801300
1998,"	11",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",109800000
1998,"	12",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",111999900
1999,"	01",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",106100600
1999,"	02",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",101200400
1999,"	03",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",114498500
1999,"	04",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",101700000
1999,"	05",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",105601500
1999,"	06",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",104100000
1999,"	07",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",102901400
1999,"	08",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",108298500
1999,"	09",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",103101000
1999,"	10",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",110800200
1999,"	11",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",107001000
1999,"	12",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",107799400
2000,"	01",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",112300600
2000,"	02",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",112201000
2000,"	03",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",121101500
2000,"	04",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",106101000
2000,"	05",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",118299100
2000,"	06",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",117999000
2000,"	07",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",114799200
2000,"	08",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",121799000
2000,"	09",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",116901000
2000,"	10",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",122000500
2000,"	11",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",114801000
2000,"	12",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",114399300
2001,"	01",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",117899200
2001,"	02",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",110098800
2001,"	03",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",122800300
2001,"	04",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",108798000
2001,"	05",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",122000500
2001,"	06",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",119400000
2001,"	07",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",119799500
2001,"	08",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",125999500
2001,"	09",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",118701000
2001,"	10",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",128299700
2001,"	11",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",120900000
2001,"	12",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",118999700
2002,"	01",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",120001000
2002,"	02",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",111000400
2002,"	03",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",111999900
2002,"	04",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",119400000
2002,"	05",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",120001000
2002,"	06",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",114000000
2002,"	07",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",118999700
2002,"	08",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",120001000
2002,"	09",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",111000000
2002,"	10",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",122998700
2002,"	11",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",114600000
2002,"	12",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",111699200
2003,"	01",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",109400000
2003,"	02",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",103700000
2003,"	03",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",113500000
2003,"	04",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",107700000
2003,"	05",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",114200000
2003,"	06",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",111600000
2003,"	07",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",112600000
2003,"	08",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",119700000
2003,"	09",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",117658000
2003,"	10",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",128322000
2003,"	11",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",119525000
2003,"	12",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",118117000
2004,"	01",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",115460000
2004,"	02",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",113779000
2004,"	03",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",127803000
2004,"	04",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",112568000
2004,"	05",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",120642000
2004,"	06",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",119099000
2004,"	07",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",118296000
2004,"	08",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",124440000
2004,"	09",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",119495000
